検索順位,タイトル,URL
1,세계유산 히라이즈미 | 히라이즈미 관광협회,https://hiraizumi.or.jp/kr/heritage/index.html
2,"히라이즈미 - 위키백과, 우리 모두의 백과사전",https://ko.wikipedia.org/wiki/%ED%9E%88%EB%9D%BC%EC%9D%B4%EC%A6%88%EB%AF%B8
3,히라이즈미초 - 나무위키,https://namu.wiki/w/%ED%9E%88%EB%9D%BC%EC%9D%B4%EC%A6%88%EB%AF%B8%EC%B4%88
4,세계유산의 거리 히라이즈미 여행은 황금으로 빛나는 ... - Japan,https://www.japan.travel/ko/kr/japan-magazine/1810_chusonji/
5,히라이즈미(유네스코) (UNESCO) | 세계 유산 - Japan,https://www.japan.travel/ko/world-heritage/hiraizumi/
6,이와테현의 히라이즈미 관광 세계 유산을 걸어서 ... - ANA,https://www.ana.co.jp/ko/kr/japan-travel-planner/iwate/0000005.html
7,히라이즈미 - THE GATE,https://thegate12.com/kr/spot/760
8,히라이즈미 문화유산센터 - 이와테 현의 공식 여행 가이드,https://visitiwate.com/ko/article/4789
9,이와테 여행 - 세계유산으로 지정된 히라이즈미의 황금문화 ...,https://livejapan.com/ko/in-tohoku/in-pref-iwate/in-morioka_hiraizumi_hachimantai/article-a3000052/
10,히라이즈미(平泉) - 세계문화유산 모쓰지(毛越寺 ... - 네이버 블로그,http://m.blog.naver.com/real_sunny/221264826685
11,3.세계유산・히라이즈미를 둘러싼다(7시간 전세 코스),https://hk-grp.or.jp/ko/publics/index/965/detail=1/b_id=6474/r_id=3341/
12,히라이즈미 관광 레스트 센터,http://www.hiraizumi2011.jp/kr/index.html
13,히라이즈미 지역 소개 | 이와테현 | TOURIST Guide,https://tguide.jp/ko/area/3
14,이와테：히라이즈미 | 노선별 여행정보 | JR동일본,https://www.jreast.co.jp/multi/ko/destinations/iwate/
15,세계 문화유산 히라이즈미의 고장 이와테현으로 초대합니다!,http://www.beautifuljapan.or.kr/iwate/sub01.asp?Contents_Type=View&IDX=53
16,"민파쿠 히라이즈미, 히라즈미 – 2022 신규 특가 - Booking.com",https://www.booking.com/hotel/jp/hiraizumi.ko.html
17,히라이즈미초 의 저가 렌트카를 비교・예약！ - 타비라이,https://kr.tabirai.net/s/car/iwate/hiraizumi/
18,히라이즈미 물 들여 가마 | 이와테의 문화 정보 대사전,http://www.bunka.pref.iwate.jp/ko/archive/fe11
19,"불국토(정토)를 나타내는건축, 정원 및 고고학적 유적군 - YouTube",https://www.youtube.com/watch?v=33yVoyy5Z1o
20,"히라이즈미 – 불교 정토 사상을 대표하는 사찰, 정원, 고고 유적군",https://heritage.unesco.or.kr/%ED%9E%88%EB%9D%BC%EC%9D%B4%EC%A6%88%EB%AF%B8-%EB%B6%88%EA%B5%90-%EC%A0%95%ED%86%A0-%EC%82%AC%EC%83%81%EC%9D%84-%EB%8C%80%ED%91%9C%ED%95%98%EB%8A%94-%EC%82%AC%EC%B0%B0-%EC%A0%95%EC%9B%90/
