,店舗名,URL,点数
0,地水庵,https://tabelog.com/iwate/A0303/A030303/3000038/,3.62
1,駅前芭蕉館,https://tabelog.com/iwate/A0303/A030303/3000723/,3.45
2,そば処義家,https://tabelog.com/iwate/A0303/A030303/3001847/,3.44
3,そば庵しづか亭,https://tabelog.com/iwate/A0303/A030301/3002094/,3.42
4,夢乃風,https://tabelog.com/iwate/A0303/A030303/3006254/,3.41
5,登龍門,https://tabelog.com/iwate/A0303/A030303/3005760/,3.41
6,ラーメンショップ 平泉店,https://tabelog.com/iwate/A0303/A030301/3004593/,3.34
7,かんざん亭,https://tabelog.com/iwate/A0303/A030303/3004624/,3.33
8,SATO,https://tabelog.com/iwate/A0303/A030303/3008662/,3.29
9,武蔵坊,https://tabelog.com/iwate/A0303/A030303/3004596/,3.28
10,泉橋庵 支店,https://tabelog.com/iwate/A0303/A030303/3000471/,3.27
11,芭蕉館,https://tabelog.com/iwate/A0303/A030301/3000618/,3.27
12,衣関屋,https://tabelog.com/iwate/A0303/A030303/3005425/,3.26
13,KOZENJI cafe,https://tabelog.com/iwate/A0303/A030303/3004365/,3.26
14,らら・いわて 平泉店,https://tabelog.com/iwate/A0303/A030303/3007825/,3.26
15,(有)千葉恵製菓,https://tabelog.com/iwate/A0303/A030301/3006118/,3.25
16,きんいろぱん屋,https://tabelog.com/iwate/A0303/A030303/3005546/,3.24
17,奥の細道展,https://tabelog.com/iwate/A0303/A030303/3006888/,3.23
18,レストラン源,https://tabelog.com/iwate/A0303/A030303/3008615/,3.23
19,フードコート 門,https://tabelog.com/iwate/A0303/A030303/3007627/,3.20
